millis,ldr_voltage,temp,hum,tvoc,eco2,prob0,prob1,prob2,AI_latency_us
136778,0.00,22.80,50.20,60.00,450.00,43,30,27,799
137778,0.00,22.80,50.20,60.00,450.00,43,30,27,796
138786,0.00,22.80,50.20,60.00,450.00,43,30,27,829
139786,0.00,22.80,50.20,60.00,450.00,43,30,27,780
140794,0.00,22.80,50.20,60.00,450.00,43,30,27,851
141795,0.00,22.80,50.20,60.00,450.00,43,30,27,786
142803,0.00,22.80,50.20,60.00,450.00,43,30,27,832
143803,0.00,22.80,50.20,60.00,450.00,43,30,27,801
144811,0.00,22.80,50.20,60.00,450.00,43,30,27,845
145812,0.00,22.80,50.20,60.00,450.00,43,30,27,799
146820,0.00,22.80,50.20,60.00,450.00,43,30,27,849
147821,0.00,22.80,50.20,60.00,450.00,43,30,27,800
148829,0.00,22.80,50.10,60.00,450.00,43,30,27,833
149829,0.00,22.80,50.10,60.00,450.00,43,30,27,810
150837,0.00,22.80,50.10,60.00,450.00,43,30,27,826
151837,0.00,22.80,50.10,60.00,450.00,43,30,27,804
152845,0.00,22.80,50.10,60.00,450.00,43,30,27,851
153845,0.00,22.80,50.10,60.00,450.00,43,30,27,781
154853,0.00,22.80,50.10,60.00,450.00,43,30,27,805
155853,0.00,22.80,50.10,60.00,450.00,43,30,27,774
156861,0.00,22.80,50.10,60.00,450.00,43,30,27,813
157861,0.00,22.80,50.10,60.00,450.00,43,30,27,800
158869,0.00,22.80,50.20,60.00,450.00,43,30,27,817
159869,0.01,22.80,50.20,60.00,450.00,43,30,27,787
160877,0.00,22.80,50.10,60.00,450.00,43,30,27,809
161877,0.00,22.80,50.10,60.00,450.00,43,30,27,804
162885,0.00,22.80,50.10,60.00,450.00,43,30,27,825
163885,0.00,22.80,50.10,60.00,450.00,43,30,27,804
164893,0.00,22.80,50.20,60.00,450.00,43,30,27,817
165893,0.00,22.80,50.20,60.00,450.00,43,30,27,814
166901,0.00,22.80,50.10,60.00,450.00,43,30,27,833
167901,0.00,22.80,50.10,60.00,450.00,43,30,27,818
168909,0.00,22.80,50.20,60.00,450.00,43,30,27,826
169909,0.00,22.80,50.20,60.00,450.00,43,30,27,808
170917,0.00,22.80,50.10,60.00,450.00,43,30,27,843
171917,0.00,22.80,50.10,60.00,450.00,43,30,27,801
172925,0.00,22.80,50.20,60.00,450.00,43,30,27,824
173925,0.00,22.80,50.20,60.00,450.00,43,30,27,743
174932,0.00,22.80,50.10,60.00,450.00,43,30,27,784
175933,0.00,22.80,50.10,60.00,450.00,43,30,27,785
176941,0.00,22.80,50.10,60.00,450.00,43,30,27,818
177941,0.00,22.80,50.10,60.00,450.00,43,30,27,782
178949,0.00,22.80,50.10,60.00,450.00,43,30,27,838
179949,0.00,22.80,50.10,60.00,450.00,43,30,27,799
180957,0.00,22.80,50.10,60.00,450.00,43,30,27,826
181957,0.00,22.80,50.10,60.00,450.00,43,30,27,818
182965,0.00,22.80,50.10,60.00,450.00,43,30,27,835
183965,0.00,22.80,50.10,60.00,450.00,43,30,27,803
184973,0.00,22.80,50.10,60.00,450.00,43,30,27,845
185973,0.00,22.80,50.10,60.00,450.00,43,30,27,810
186981,0.00,22.80,50.00,60.00,450.00,43,30,27,841
187981,0.00,22.80,50.00,60.00,450.00,43,30,27,804
188989,0.00,22.80,50.10,60.00,450.00,43,30,27,845
189989,0.00,22.80,50.10,60.00,450.00,43,30,27,819
190997,0.00,22.80,50.10,60.00,450.00,43,30,27,845
191997,0.00,22.80,50.10,60.00,450.00,43,30,27,815
193005,0.00,22.80,50.10,60.00,450.00,43,30,27,837
194005,0.00,22.80,50.10,60.00,450.00,43,30,27,763
195013,0.00,22.80,50.10,60.00,450.00,43,30,27,795
